Source / Participant,Quoted Text,Code (Comment),Preliminary Theme
Interview_01,"I keep checking my phone because I feel like I will miss something important.",Compulsive checking,Anxiety responses
Interview_01,"When I write down my thoughts, I notice the same worries repeating.",Repetitive worry,Cognitive patterns
Interview_02,"Talking to my sister helps me calm down after stressful meetings.",Social support use,Coping strategies
Interview_02,"I avoid difficult emails until late evening and then feel worse.",Avoidance cycle,Behavioral patterns
Interview_03,"If I sleep poorly, everything feels harder the next day.",Sleep impact,Daily functioning
Interview_03,"I started short breathing exercises before presentations and it helps.",Breathing routine,Adaptive practices
Interview_04,"I tell myself one mistake means I am failing at everything.",Catastrophic self-talk,Cognitive distortions
Interview_04,"On good days I take a walk first and my mood improves.",Walk as reset,Behavioral activation
Interview_05,"I notice tension in my shoulders before I realize I am anxious.",Somatic cue awareness,Emotion regulation
Interview_05,"I skipped lunch and then felt irritable in the afternoon.",Physiological trigger,
